Dryer, Matthew S.. 2011. SNegOV Order.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 144Q.
Available online at http://wals.info/feature/144Q
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
cup	Cupeño	1	NoDoubleNeg	33.167	-116.500	Takic	Uto-Aztecan	Word Order
mkg	Mandinka (Gambian)	1	NoDoubleNeg	13.417	-16.000	Western Mande	Niger-Congo	Word Order
grb	Grebo	1	NoDoubleNeg	5.000	-8.000	Kru	Niger-Congo	Word Order
man	Mano	1	NoDoubleNeg	7.000	-9.000	Eastern Mande	Niger-Congo	Word Order
ram	Rama	1	NoDoubleNeg	11.750	-83.750	Rama	Chibchan	Word Order
brp	Barupu	1	NoDoubleNeg	-3.083	142.083	Warapu	Skou	Word Order
bam	Bambara	1	NoDoubleNeg	12.500	-7.500	Western Mande	Niger-Congo	Word Order
vai	Vai	1	NoDoubleNeg	6.917	-11.250	Western Mande	Niger-Congo	Word Order
kse	Koyraboro Senni	1	NoDoubleNeg	16.000	0.000	Songhay	Nilo-Saharan	Word Order
nav	Navajo	1	NoDoubleNeg	36.167	-108.000	Athapaskan	Na-Dene	Word Order
din	Dinka	1	NoDoubleNeg	8.500	28.000	Nilotic	Nilo-Saharan	Word Order
nti	Ngiti	1	NoDoubleNeg	1.333	30.250	Lendu	Nilo-Saharan	Word Order
qim	Quechua (Imbabura)	1	NoDoubleNeg	0.333	-78.000	Quechuan	Quechuan	Word Order
tnn	Tunen	1	NoDoubleNeg	4.750	10.667	Bantoid	Niger-Congo	Word Order
slb	Saliba (in Papua New Guinea)	1	NoDoubleNeg	-10.583	150.717	Oceanic	Austronesian	Word Order
mbi	Mbili	1	NoDoubleNeg	6.117	10.200	Bantoid	Niger-Congo	Word Order
pba	Pima Bajo	1	NoDoubleNeg	29.000	-111.000	Tepiman	Uto-Aztecan	Word Order
